linear,relu,relu
128,16,4
linear,relu,relu
128,16,4
linear,relu,relu
128,16,4
linear,relu,relu
128,16,4
linear,relu,relu
128,32,8
linear,relu,relu
128,32,8
linear,relu,relu
128,32,8
linear,relu,relu
128,32,8
linear,relu,relu
128,48,12
linear,relu,relu
128,48,12
linear,relu,relu
128,48,12
linear,relu,relu
128,48,12
linear,relu,relu
128,64,16
linear,relu,relu
128,64,16
linear,relu,relu
128,64,16
linear,relu,relu
128,64,16
linear,relu,relu
128,80,20
linear,relu,relu
128,80,20
linear,relu,relu
128,80,20
linear,relu,relu
128,80,20
linear,relu,relu
128,96,24
linear,relu,relu
128,96,24
linear,relu,relu
128,96,24
linear,relu,relu
128,96,24
linear,relu,relu
128,112,28
linear,relu,relu
128,112,28
linear,relu,relu
128,112,28
linear,relu,relu
128,112,28
linear,relu,relu
128,128,32
linear,relu,relu
128,128,32
linear,relu,relu
128,128,32
linear,relu,relu
128,128,32
linear,relu,relu
128,144,36
linear,relu,relu
128,144,36
linear,relu,relu
128,144,36
linear,relu,relu
128,144,36
linear,relu,relu
128,160,40
linear,relu,relu
128,160,40
linear,relu,relu
128,160,40
linear,relu,relu
128,160,40
linear,relu,relu
128,176,44
linear,relu,relu
128,176,44
linear,relu,relu
128,176,44
linear,relu,relu
128,176,44
linear,relu,relu
128,192,48
linear,relu,relu
128,192,48
linear,relu,relu
128,192,48
linear,relu,relu
128,192,48
linear,relu,relu
128,208,52
linear,relu,relu
128,208,52
linear,relu,relu
128,208,52
linear,relu,relu
128,208,52
linear,relu,relu
128,224,56
linear,relu,relu
128,224,56
linear,relu,relu
128,224,56
linear,relu,relu
128,224,56
linear,relu,relu
128,240,60
linear,relu,relu
128,240,60
linear,relu,relu
128,240,60
linear,relu,relu
128,240,60
linear,relu,relu
144,16,4
linear,relu,relu
144,16,4
linear,relu,relu
144,16,4
linear,relu,relu
144,16,4
linear,relu,relu
144,32,8
linear,relu,relu
144,32,8
linear,relu,relu
144,32,8
linear,relu,relu
144,32,8
linear,relu,relu
144,48,12
linear,relu,relu
144,48,12
linear,relu,relu
144,48,12
linear,relu,relu
144,48,12
linear,relu,relu
144,64,16
linear,relu,relu
144,64,16
linear,relu,relu
144,64,16
linear,relu,relu
144,64,16
linear,relu,relu
144,80,20
linear,relu,relu
144,80,20
linear,relu,relu
144,80,20
linear,relu,relu
144,80,20
linear,relu,relu
144,96,24
linear,relu,relu
144,96,24
linear,relu,relu
144,96,24
linear,relu,relu
144,96,24
linear,relu,relu
144,112,28
linear,relu,relu
144,112,28
linear,relu,relu
144,112,28
linear,relu,relu
144,112,28
linear,relu,relu
144,128,32
linear,relu,relu
144,128,32
linear,relu,relu
144,128,32
linear,relu,relu
144,128,32
linear,relu,relu
144,144,36
linear,relu,relu
144,144,36
linear,relu,relu
144,144,36
linear,relu,relu
144,144,36
linear,relu,relu
144,160,40
linear,relu,relu
144,160,40
linear,relu,relu
144,160,40
linear,relu,relu
144,160,40
linear,relu,relu
144,176,44
linear,relu,relu
144,176,44
linear,relu,relu
144,176,44
linear,relu,relu
144,176,44
linear,relu,relu
144,192,48
linear,relu,relu
144,192,48
linear,relu,relu
144,192,48
linear,relu,relu
144,192,48
linear,relu,relu
144,208,52
linear,relu,relu
144,208,52
linear,relu,relu
144,208,52
linear,relu,relu
144,208,52
linear,relu,relu
144,224,56
linear,relu,relu
144,224,56
linear,relu,relu
144,224,56
linear,relu,relu
144,224,56
linear,relu,relu
144,240,60
linear,relu,relu
144,240,60
linear,relu,relu
144,240,60
linear,relu,relu
144,240,60
linear,relu,relu
160,16,4
linear,relu,relu
160,16,4
linear,relu,relu
160,16,4
linear,relu,relu
160,16,4
linear,relu,relu
160,32,8
linear,relu,relu
160,32,8
linear,relu,relu
160,32,8
linear,relu,relu
160,32,8
linear,relu,relu
160,48,12
linear,relu,relu
160,48,12
linear,relu,relu
160,48,12
linear,relu,relu
160,48,12
linear,relu,relu
160,64,16
linear,relu,relu
160,64,16
linear,relu,relu
160,64,16
linear,relu,relu
160,64,16
linear,relu,relu
160,80,20
linear,relu,relu
160,80,20
linear,relu,relu
160,80,20
linear,relu,relu
160,80,20
linear,relu,relu
160,96,24
linear,relu,relu
160,96,24
linear,relu,relu
160,96,24
linear,relu,relu
160,96,24
linear,relu,relu
160,112,28
linear,relu,relu
160,112,28
linear,relu,relu
160,112,28
linear,relu,relu
160,112,28
linear,relu,relu
160,128,32
linear,relu,relu
160,128,32
linear,relu,relu
160,128,32
linear,relu,relu
160,128,32
linear,relu,relu
160,144,36
linear,relu,relu
160,144,36
linear,relu,relu
160,144,36
linear,relu,relu
160,144,36
linear,relu,relu
160,160,40
linear,relu,relu
160,160,40
linear,relu,relu
160,160,40
linear,relu,relu
160,160,40
linear,relu,relu
160,176,44
linear,relu,relu
160,176,44
linear,relu,relu
160,176,44
linear,relu,relu
160,176,44
linear,relu,relu
160,192,48
linear,relu,relu
160,192,48
linear,relu,relu
160,192,48
linear,relu,relu
160,192,48
linear,relu,relu
160,208,52
linear,relu,relu
160,208,52
linear,relu,relu
160,208,52
linear,relu,relu
160,208,52
linear,relu,relu
160,224,56
linear,relu,relu
160,224,56
linear,relu,relu
160,224,56
linear,relu,relu
160,224,56
linear,relu,relu
160,240,60
linear,relu,relu
160,240,60
linear,relu,relu
160,240,60
linear,relu,relu
160,240,60
linear,relu,relu
176,16,4
linear,relu,relu
176,16,4
linear,relu,relu
